Protein FDR Confidence Combined	Master	Accession	Description	% Coverage	# Peptides	# PSMs	# Unique Peptides	MW in kDa	Gene Symbol	Abundance 1161573	Abundance 1161574	Abundance 1161575	Abundance 1161576	Abundance 1161577	Abundance 1161578																																		
High	Master Protein	O43808	Peroxisomal membrane protein PMP34 OS=Homo sapiens OX=9606 GN=SLC25A17 PE=1 SV=1	17	4	14	4	34.5	SLC25A17	2.02E+06	8.84E+05	4.47E+06	3.25E+06	1.27E+06	2.15E+06																																		
High	Master Protein	Q16774	Guanylate kinase OS=Homo sapiens OX=9606 GN=GUK1 PE=1 SV=2	22	3	14	3	21.7	GUK1	2.80E+06	2.26E+06	2.31E+06	2.14E+06	1.35E+06	1.30E+06																																		
High	Master Protein	Q96MX6	Dynein axonemal assembly factor 10 OS=Homo sapiens OX=9606 GN=DNAAF10 PE=1 SV=1	17	3	14	3	39.7	DNAAF10	3.22E+06	1.39E+06	4.11E+06	3.06E+06	3.48E+06	1.37E+06																																		
High	Master Protein	Q6SPF0	Sterile alpha motif domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SAMD1 PE=1 SV=1	14	4	14	4	56	SAMD1	3.10E+06	4.31E+06	3.69E+06	2.43E+06	2.57E+06	2.88E+06																																		
High	Master Protein	Q99442	Translocation protein SEC62 OS=Homo sapiens OX=9606 GN=SEC62 PE=1 SV=1	11	4	14	4	45.8	SEC62	1.52E+07	1.47E+07	1.44E+07	8.70E+06	9.76E+06	1.02E+07																																		
High	Master Protein	Q96I59	"Probable asparagine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=NARS2 PE=1 SV=3"	18	5	14	5	54.1	NARS2	3.02E+06	1.86E+06	3.90E+06	2.53E+06	3.87E+06	3.33E+06																																		
High	Master Protein	Q06546	GA-binding protein alpha chain OS=Homo sapiens OX=9606 GN=GABPA PE=1 SV=1	26	6	14	6	51.3	GABPA	3.99E+06	1.63E+06	3.80E+06	1.83E+06	2.79E+06	2.76E+06																																		
High	Master Protein	P17096	High mobility group protein HMG-I/HMG-Y OS=Homo sapiens OX=9606 GN=HMGA1 PE=1 SV=3	22	2	14	2	11.7	HMGA1	8.53E+06	1.01E+07	1.03E+07	8.01E+06	7.38E+06	7.81E+06																																		
High	Master Protein	Q9NPJ6	Mediator of RNA polymerase II transcription subunit 4 OS=Homo sapiens OX=9606 GN=MED4 PE=1 SV=1	11	2	14	2	29.7	MED4	3.08E+06	5.97E+05	4.51E+06	4.39E+06	3.38E+06	3.02E+06																																		
High	Master Protein	Q92997	Segment polarity protein dishevelled homolog DVL-3 OS=Homo sapiens OX=9606 GN=DVL3 PE=1 SV=2	8	5	14	2	78	DVL3	2.04E+04	2.87E+04	2.18E+04																																					
High	Master Protein	Q96JK2	DDB1- and CUL4-associated factor 5 OS=Homo sapiens OX=9606 GN=DCAF5 PE=1 SV=2	5	4	14	4	103.9	DCAF5	9.15E+05	7.30E+05	8.00E+05	9.14E+05	6.40E+05	9.69E+05																																		
High	Master Protein	Q96BI1	Solute carrier family 22 member 18 OS=Homo sapiens OX=9606 GN=SLC22A18 PE=1 SV=3	7	3	14	3	44.8	SLC22A18	4.28E+06	3.04E+06	4.28E+06	3.52E+06	3.67E+06	3.19E+06																																		
High	Master Protein	Q8NEJ9	Neuroguidin OS=Homo sapiens OX=9606 GN=NGDN PE=1 SV=1	15	4	14	4	35.9	NGDN	2.10E+06	2.08E+06	2.17E+06	1.27E+06	1.45E+06	1.76E+06																																		
High	Master Protein	O00193	Small acidic protein OS=Homo sapiens OX=9606 GN=SMAP PE=1 SV=1	26	4	14	4	20.3	SMAP	1.40E+07	1.54E+07	1.29E+07	1.10E+07	9.78E+06	1.13E+07																																		
High	Master Protein	P49815	Tuberin OS=Homo sapiens OX=9606 GN=TSC2 PE=1 SV=2	6	7	14	7	200.5	TSC2	3.46E+06	3.77E+06	4.88E+06	2.01E+06	2.69E+06	3.68E+06																																		
High	Master Protein	Q92604	Acyl-CoA:lysophosphatidylglycerol acyltransferase 1 OS=Homo sapiens OX=9606 GN=LPGAT1 PE=1 SV=1	11	3	14	3	43.1	LPGAT1	4.62E+05	2.07E+05	1.82E+06	2.25E+06	1.76E+06	3.79E+06																																		
High	Master Protein	Q9NP61	ADP-ribosylation factor GTPase-activating protein 3 OS=Homo sapiens OX=9606 GN=ARFGAP3 PE=1 SV=1	10	5	14	4	56.9	ARFGAP3	1.40E+06	6.86E+05	7.90E+05	6.24E+05	8.57E+05	7.86E+05																																		
High	Master Protein	Q6UX07	Dehydrogenase/reductase SDR family member 13 OS=Homo sapiens OX=9606 GN=DHRS13 PE=2 SV=1	10	4	14	4	40.8	DHRS13	5.39E+06	4.53E+06	4.43E+06	3.18E+06	3.08E+06	2.93E+06																																		
High	Master Protein	O14802	DNA-directed RNA polymerase III subunit RPC1 OS=Homo sapiens OX=9606 GN=POLR3A PE=1 SV=2	8	6	14	6	155.5	POLR3A	3.99E+06	1.20E+06	3.42E+06	1.98E+06	1.49E+06	1.24E+06																																		
High	Master Protein	P42696	RNA-binding protein 34 OS=Homo sapiens OX=9606 GN=RBM34 PE=1 SV=2	10	3	14	3	48.5	RBM34	1.15E+06	8.44E+05	1.36E+06	1.48E+06	1.20E+06	1.18E+06																																		
High	Master Protein	Q5W0Z9	Palmitoyltransferase ZDHHC20 OS=Homo sapiens OX=9606 GN=ZDHHC20 PE=1 SV=1	16	4	14	4	42.3	ZDHHC20	2.25E+06	3.34E+06	3.39E+06	2.60E+06	3.09E+06	2.86E+06																																		
High	Master Protein	O15021	Microtubule-associated serine/threonine-protein kinase 4 OS=Homo sapiens OX=9606 GN=MAST4 PE=1 SV=4	1	2	14	1	283.9	MAST4	7.37E+04	1.06E+05	8.65E+04	9.67E+04	1.12E+05	7.96E+04																																		
High	Master Protein	Q9NQW6	Anillin OS=Homo sapiens OX=9606 GN=ANLN PE=1 SV=2	7	8	14	8	124.1	ANLN	6.35E+06	5.00E+06	5.66E+06	3.19E+06	2.47E+06	2.92E+06																																		
High	Master Protein	Q9NTJ4	Alpha-mannosidase 2C1 OS=Homo sapiens OX=9606 GN=MAN2C1 PE=1 SV=1	7	4	14	4	115.8	MAN2C1	7.97E+05	6.09E+05	1.39E+06	1.15E+06	1.53E+06	2.35E+06																																		
High	Master Protein	A6NIH7	Protein unc-119 homolog B OS=Homo sapiens OX=9606 GN=UNC119B PE=1 SV=1	26	4	14	4	28.1	UNC119B	1.54E+06	2.62E+05	3.77E+06	5.71E+05	1.58E+06	1.68E+06																																		
High	Master Protein	Q86U06	Probable RNA-binding protein 23 OS=Homo sapiens OX=9606 GN=RBM23 PE=1 SV=1	11	4	14	2	48.7	RBM23	1.70E+06	1.38E+06	1.77E+06	1.33E+06	1.12E+06	1.27E+06																																		
High	Master Protein	Q86U90	"YrdC domain-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=YRDC PE=1 SV=1"	9	2	14	2	29.3	YRDC	1.78E+06	9.49E+05	1.95E+06	1.62E+06	9.39E+05	1.16E+06																																		
High	Master Protein	Q9NZ43	Vesicle transport protein USE1 OS=Homo sapiens OX=9606 GN=USE1 PE=1 SV=2	16	3	14	3	29.4	USE1	1.55E+06	1.27E+06	2.39E+06	2.07E+06	1.32E+06	4.44E+06																																		
High	Master Protein	O95825	Quinone oxidoreductase-like protein 1 OS=Homo sapiens OX=9606 GN=CRYZL1 PE=1 SV=2	20	3	14	3	38.7	CRYZL1	2.44E+06	1.13E+06	2.26E+06	1.10E+06	1.34E+06	2.82E+06																																		
High	Master Protein	Q96CU9	FAD-dependent oxidoreductase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FOXRED1 PE=1 SV=2	16	5	14	5	53.8	FOXRED1	1.58E+06	7.93E+05	2.27E+06	7.13E+05	5.68E+05	1.95E+06																																		
High	Master Protein	O94842	TOX high mobility group box family member 4 OS=Homo sapiens OX=9606 GN=TOX4 PE=1 SV=1	11	5	14	5	66.2	TOX4	2.25E+06	2.57E+06	2.18E+06	3.00E+06	3.00E+06	3.05E+06																																		
High	Master Protein	Q659C4	La-related protein 1B OS=Homo sapiens OX=9606 GN=LARP1B PE=1 SV=2	4	3	14	1	105.3	LARP1B	1.40E+05	8.44E+04	1.55E+05	1.87E+05	1.07E+05	1.53E+05																																		
High	Master Protein	Q9UJY1	Heat shock protein beta-8 OS=Homo sapiens OX=9606 GN=HSPB8 PE=1 SV=1	23	3	14	3	21.6	HSPB8	1.65E+06	1.96E+06	2.92E+06	3.40E+05	1.57E+06	3.87E+05																																		
High	Master Protein	Q9Y6A9	Signal peptidase complex subunit 1 OS=Homo sapiens OX=9606 GN=SPCS1 PE=1 SV=5	10	2	14	2	18.3	SPCS1	6.37E+06	6.86E+06	6.15E+06	8.67E+06	7.96E+06	8.77E+06																																		
High	Master Protein	Q9Y6X8	Zinc fingers and homeoboxes protein 2 OS=Homo sapiens OX=9606 GN=ZHX2 PE=1 SV=1	13	7	14	6	92.3	ZHX2	5.22E+06	4.14E+06	6.17E+06	3.19E+06	2.25E+06	3.21E+06																																		
High	Master Protein	Q9H061	Transmembrane protein 126A OS=Homo sapiens OX=9606 GN=TMEM126A PE=1 SV=1	24	4	14	4	21.5	TMEM126A	4.33E+06	3.36E+06	6.17E+06	4.26E+06	3.85E+06	4.73E+06																																		
High	Master Protein	Q9ULX3	RNA-binding protein NOB1 OS=Homo sapiens OX=9606 GN=NOB1 PE=1 SV=1	16	4	14	4	46.6	NOB1	3.48E+06	2.14E+06	5.00E+06	2.07E+06	2.43E+06	2.32E+06																																		
High	Master Protein	P46020	"Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform OS=Homo sapiens OX=9606 GN=PHKA1 PE=1 SV=2"	5	3	14	3	137.2	PHKA1	1.93E+06	1.80E+05	1.95E+06	2.57E+06	3.73E+06	6.33E+05																																		
High	Master Protein	Q99715	Collagen alpha-1(XII) chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=2	4	6	14	6	332.9	COL12A1	1.70E+05	9.45E+04	3.67E+05	2.11E+06	1.09E+06	8.97E+05																																		
High	Master Protein	Q92506	(3R)-3-hydroxyacyl-CoA dehydrogenase OS=Homo sapiens OX=9606 GN=HSD17B8 PE=1 SV=2	15	3	14	3	27	HSD17B8	2.00E+06	2.28E+06	1.86E+06	1.80E+06	1.72E+06	1.87E+06																																		
High	Master Protein	Q8IY95	Transmembrane protein 192 OS=Homo sapiens OX=9606 GN=TMEM192 PE=1 SV=1	19	4	14	4	30.9	TMEM192	3.34E+06	4.27E+06	2.93E+06	3.77E+06	4.90E+06	4.59E+06																																		
High	Master Protein	Q99549	M-phase phosphoprotein 8 OS=Homo sapiens OX=9606 GN=MPHOSPH8 PE=1 SV=2	11	5	14	5	97.1	MPHOSPH8	2.11E+06	2.16E+06	2.67E+06	8.42E+05	1.64E+06	1.31E+06																																		
High	Master Protein	Q9UNL2	Translocon-associated protein subunit gamma OS=Homo sapiens OX=9606 GN=SSR3 PE=1 SV=1	12	2	14	2	21.1	SSR3	1.30E+07	1.59E+07	1.70E+07	6.81E+06	9.53E+06	9.68E+06																																		
High	Master Protein	O95139	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6 OS=Homo sapiens OX=9606 GN=NDUFB6 PE=1 SV=3	24	2	14	2	15.5	NDUFB6	3.96E+06	3.75E+06	6.83E+06	5.32E+06	3.80E+06	4.51E+06																																		
High	Master Protein	Q86WR0	Coiled-coil domain-containing protein 25 OS=Homo sapiens OX=9606 GN=CCDC25 PE=1 SV=2	22	4	14	4	24.5	CCDC25	3.21E+06	4.72E+06	4.03E+06	1.96E+06	2.76E+06	2.85E+06																																		
High	Master Protein	Q8IY17	Patatin-like phospholipase domain-containing protein 6 OS=Homo sapiens OX=9606 GN=PNPLA6 PE=1 SV=3	5	4	14	4	150.9	PNPLA6	1.03E+06	2.71E+05	1.67E+06	2.12E+06	2.01E+06	1.48E+06																																		
High	Master Protein	Q96EP0	E3 ubiquitin-protein ligase RNF31 OS=Homo sapiens OX=9606 GN=RNF31 PE=1 SV=1	11	6	14	6	119.6	RNF31	1.78E+06	6.42E+05	2.00E+06	2.23E+06	2.05E+06	2.02E+06																																		
High	Master Protein	Q9Y2Z9	"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial OS=Homo sapiens OX=9606 GN=COQ6 PE=1 SV=2"	13	3	14	3	50.8	COQ6	3.29E+06	1.61E+06	1.84E+06	1.76E+06	2.10E+06	3.00E+06																																		
High	Master Protein	Q6P161	"39S ribosomal protein L54, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL54 PE=1 SV=1"	49	3	14	3	15.8	MRPL54	2.64E+06	3.35E+06	4.92E+06	2.00E+06	3.71E+06	4.20E+06																																		
High	Master Protein	Q13207	T-box transcription factor TBX2 OS=Homo sapiens OX=9606 GN=TBX2 PE=1 SV=3	5	3	14	3	75	TBX2	7.83E+06	5.23E+06	8.17E+06	7.97E+06	7.55E+06	6.89E+06																																		
High	Master Protein	Q14155	Rho guanine nucleotide exchange factor 7 OS=Homo sapiens OX=9606 GN=ARHGEF7 PE=1 SV=2	6	4	14	4	90	ARHGEF7	2.51E+06	1.16E+06	2.76E+06	2.01E+06	1.66E+06	2.34E+06																																		
High	Master Protein	Q9BT40	Inositol polyphosphate 5-phosphatase K OS=Homo sapiens OX=9606 GN=INPP5K PE=1 SV=3	11	4	14	4	51.1	INPP5K	2.97E+06	2.06E+06	2.62E+06	1.59E+06	1.83E+06	1.96E+06																																		
High	Master Protein	O43913	Origin recognition complex subunit 5 OS=Homo sapiens OX=9606 GN=ORC5 PE=1 SV=1	14	5	14	5	50.3	ORC5	7.54E+06	4.04E+06	6.85E+06	4.61E+06	3.42E+06	4.63E+06																																		
High	Master Protein	Q9UPY8	Microtubule-associated protein RP/EB family member 3 OS=Homo sapiens OX=9606 GN=MAPRE3 PE=1 SV=1	11	4	14	2	32	MAPRE3	2.56E+06	1.47E+06	2.01E+06	6.82E+05	1.10E+06	6.66E+05																																		
High	Master Protein	P43378	Tyrosine-protein phosphatase non-receptor type 9 OS=Homo sapiens OX=9606 GN=PTPN9 PE=1 SV=1	8	3	14	3	68	PTPN9	1.59E+06	8.23E+04	2.24E+06	3.44E+06	1.69E+06	2.46E+06																																		
High	Master Protein	Q08426	Peroxisomal bifunctional enzyme OS=Homo sapiens OX=9606 GN=EHHADH PE=1 SV=3	10	5	14	5	79.4	EHHADH	2.30E+06	2.61E+06	1.85E+06	1.14E+06	1.12E+06	1.02E+06																																		
High	Master Protein	P54105	Methylosome subunit pICln OS=Homo sapiens OX=9606 GN=CLNS1A PE=1 SV=1	29	3	14	3	26.2	CLNS1A	1.43E+06	1.34E+06	2.37E+06	1.82E+06																																				
High	Master Protein	P05067	Amyloid-beta precursor protein OS=Homo sapiens OX=9606 GN=APP PE=1 SV=3	13	7	14	7	86.9	APP	1.88E+06	2.29E+06	2.11E+06	4.63E+06	4.69E+06	5.90E+06																																		
High	Master Protein	P30049	"ATP synthase subunit delta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1D PE=1 SV=2"	38	3	14	3	17.5	ATP5F1D	6.99E+06	9.70E+06	1.14E+07	9.18E+06	1.03E+07	1.24E+07																																		
High	Master Protein	P18084	Integrin beta-5 OS=Homo sapiens OX=9606 GN=ITGB5 PE=1 SV=1	13	6	14	6	88	ITGB5	2.15E+06	1.32E+06	2.40E+06	5.16E+06	5.20E+06	4.40E+06																																		
High	Master Protein	Q15465	Sonic hedgehog protein OS=Homo sapiens OX=9606 GN=SHH PE=1 SV=1	17	5	14	5	49.6	SHH	2.89E+05		1.76E+05	2.31E+06	1.75E+06	2.29E+06																																		
High	Master Protein	Q99571	P2X purinoceptor 4 OS=Homo sapiens OX=9606 GN=P2RX4 PE=1 SV=2	15	4	14	4	43.3	P2RX4	2.06E+06	1.67E+06	2.10E+06	4.56E+06	5.20E+06	4.99E+06																																		
High	Master Protein	Q05209	Tyrosine-protein phosphatase non-receptor type 12 OS=Homo sapiens OX=9606 GN=PTPN12 PE=1 SV=3	8	5	14	5	88.1	PTPN12	6.35E+05	5.86E+05	1.21E+06	6.44E+05	8.67E+05	5.26E+05																																		
High	Master Protein	O75832	26S proteasome non-ATPase regulatory subunit 10 OS=Homo sapiens OX=9606 GN=PSMD10 PE=1 SV=1	11	3	14	3	24.4	PSMD10	3.71E+07	4.85E+07	4.73E+07	3.77E+07	3.71E+07	3.70E+07																																		
High	Master Protein	O75385	Serine/threonine-protein kinase ULK1 OS=Homo sapiens OX=9606 GN=ULK1 PE=1 SV=2	5	3	13	3	112.6	ULK1	1.94E+06	2.51E+05	2.73E+06	1.72E+06	1.87E+06	1.29E+06																																		
High	Master Protein	P51970	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 OS=Homo sapiens OX=9606 GN=NDUFA8 PE=1 SV=3	17	3	13	3	20.1	NDUFA8	1.59E+06	5.63E+05	1.29E+06	1.30E+05	1.30E+06	9.29E+05																																		
High	Master Protein	Q15047	Histone-lysine N-methyltransferase SETDB1 OS=Homo sapiens OX=9606 GN=SETDB1 PE=1 SV=1	4	3	13	3	143.1	SETDB1	1.98E+06	1.68E+06	2.67E+06	1.93E+06	1.93E+06	1.58E+06																																		
High	Master Protein	Q9H1C4	Protein unc-93 homolog B1 OS=Homo sapiens OX=9606 GN=UNC93B1 PE=1 SV=2	6	4	13	4	66.6	UNC93B1	4.70E+06	9.26E+05	5.27E+06	4.56E+06	4.83E+06	4.05E+06																																		
High	Master Protein	Q06481	Amyloid beta precursor like protein 2 OS=Homo sapiens OX=9606 GN=APLP2 PE=1 SV=2	7	4	13	4	86.9	APLP2	9.72E+05	2.95E+05	8.92E+05	2.16E+06	1.93E+06	2.81E+06																																		
High	Master Protein	P48553	Trafficking protein particle complex subunit 10 OS=Homo sapiens OX=9606 GN=TRAPPC10 PE=1 SV=2	5	4	13	4	142.1	TRAPPC10	2.41E+06	1.96E+06	3.11E+06	2.05E+06	1.68E+06	2.07E+06																																		
High	Master Protein	Q8IZH2	5'-3' exoribonuclease 1 OS=Homo sapiens OX=9606 GN=XRN1 PE=1 SV=1	4	6	13	6	194	XRN1	2.73E+06	1.21E+06	2.06E+06	2.35E+06	1.99E+06	1.44E+06																																		
High	Master Protein	P19387	DNA-directed RNA polymerase II subunit RPB3 OS=Homo sapiens OX=9606 GN=POLR2C PE=1 SV=2	37	5	13	5	31.4	POLR2C	4.43E+06	2.46E+06	4.89E+06	2.28E+06	2.30E+06	2.71E+06																																		
High	Master Protein	A0JLT2	Mediator of RNA polymerase II transcription subunit 19 OS=Homo sapiens OX=9606 GN=MED19 PE=1 SV=2	31	3	13	3	26.3	MED19	2.21E+06	1.02E+06	3.04E+06	2.71E+06	1.23E+06	1.98E+06																																		
High	Master Protein	P02765	Alpha-2-HS-glycoprotein OS=Homo sapiens OX=9606 GN=AHSG PE=1 SV=2	4	2	13	2	39.3	AHSG	8.25E+06	3.12E+06	5.54E+06	6.12E+06	1.05E+07	9.38E+06																																		
High	Master Protein	Q8NBI6	Xyloside xylosyltransferase 1 OS=Homo sapiens OX=9606 GN=XXYLT1 PE=1 SV=1	19	4	13	4	43.8	XXYLT1	1.79E+06	6.97E+05	2.09E+06	2.36E+06	2.42E+06	2.58E+06																																		
High	Master Protein	Q9H008	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase OS=Homo sapiens OX=9606 GN=LHPP PE=1 SV=2	21	3	13	3	29.1	LHPP	3.58E+06	3.46E+05	2.43E+06	4.59E+06	4.01E+06	3.86E+06																																		
High	Master Protein	P0DPD7	EEF1A lysine methyltransferase 4 OS=Homo sapiens OX=9606 GN=EEF1AKMT4 PE=1 SV=1	24	4	13	4	28.3	EEF1AKMT4	2.04E+06	1.42E+06	2.57E+06	1.98E+06	2.58E+06	2.52E+06																																		
High	Master Protein	P15941	Mucin-1 OS=Homo sapiens OX=9606 GN=MUC1 PE=1 SV=3	3	3	13	3	122	MUC1	3.95E+06	2.31E+06	5.25E+06	1.94E+06	1.56E+06	2.30E+06																																		
High	Master Protein	O95081	Arf-GAP domain and FG repeat-containing protein 2 OS=Homo sapiens OX=9606 GN=AGFG2 PE=1 SV=2	10	4	13	4	48.9	AGFG2	2.07E+06	6.56E+05	2.12E+06	1.92E+06	1.55E+06	1.91E+06																																		
High	Master Protein	Q13795	ADP-ribosylation factor-related protein 1 OS=Homo sapiens OX=9606 GN=ARFRP1 PE=1 SV=1	18	3	13	3	22.6	ARFRP1	1.53E+06	6.49E+05	4.23E+06	8.58E+05	1.30E+06	7.09E+05																																		
High	Master Protein	Q9UBP0	Spastin OS=Homo sapiens OX=9606 GN=SPAST PE=1 SV=1	9	3	13	3	67.2	SPAST	5.98E+05	2.05E+05	8.84E+05	1.36E+06	1.37E+06	2.80E+05																																		
High	Master Protein	P03905	NADH-ubiquinone oxidoreductase chain 4 OS=Homo sapiens OX=9606 GN=MT-ND4 PE=1 SV=1	10	3	13	3	51.5	MT-ND4	3.27E+06	3.24E+05	5.69E+06	1.99E+06	5.89E+06	4.09E+06																																		
High	Master Protein	P61077	Ubiquitin-conjugating enzyme E2 D3 OS=Homo sapiens OX=9606 GN=UBE2D3 PE=1 SV=1	12	2	13	2	16.7	UBE2D3	2.98E+07	2.29E+07	2.08E+07	1.99E+07	1.59E+07	1.85E+07																																		
High	Master Protein	Q9NPD8	Ubiquitin-conjugating enzyme E2 T OS=Homo sapiens OX=9606 GN=UBE2T PE=1 SV=1	23	3	13	3	22.5	UBE2T	4.02E+06	4.13E+06	3.90E+06	1.26E+06	1.01E+06	1.32E+06																																		
High	Master Protein	Q9Y6I3	Epsin-1 OS=Homo sapiens OX=9606 GN=EPN1 PE=1 SV=2	21	5	13	4	60.3	EPN1	2.48E+06	1.33E+06	2.53E+06	2.25E+06	8.48E+05	1.48E+06																																		
High	Master Protein	Q6UW56	All-trans retinoic acid-induced differentiation factor OS=Homo sapiens OX=9606 GN=ATRAID PE=1 SV=2	24	3	13	3	24.7	ATRAID	2.26E+06	2.29E+06	2.56E+06	2.22E+06	3.87E+06	2.12E+06																																		
High	Master Protein	P61764	Syntaxin-binding protein 1 OS=Homo sapiens OX=9606 GN=STXBP1 PE=1 SV=1	18	7	13	7	67.5	STXBP1	6.53E+06	6.89E+06	5.63E+06	5.10E+06	1.25E+06	2.72E+06																																		
High	Master Protein	Q9UKA4	A-kinase anchor protein 11 OS=Homo sapiens OX=9606 GN=AKAP11 PE=1 SV=1	4	4	13	4	210.4	AKAP11	2.68E+05		1.37E+05	9.91E+04	2.31E+05	4.65E+05																																		
High	Master Protein	Q9UHV7	Mediator of RNA polymerase II transcription subunit 13 OS=Homo sapiens OX=9606 GN=MED13 PE=1 SV=3	4	4	13	4	239.1	MED13	1.27E+06	1.06E+06	2.04E+06	7.89E+05	3.40E+06	1.14E+06																																		
High	Master Protein	O95848	Uridine diphosphate glucose pyrophosphatase NUDT14 OS=Homo sapiens OX=9606 GN=NUDT14 PE=1 SV=2	22	2	13	2	24.1	NUDT14	2.94E+06	4.31E+05	7.44E+06	4.77E+06	2.88E+06	4.00E+06																																		
High	Master Protein	O95260	Arginyl-tRNA--protein transferase 1 OS=Homo sapiens OX=9606 GN=ATE1 PE=1 SV=2	9	3	13	3	59.1	ATE1	2.83E+06	1.74E+06	3.11E+06	1.52E+06	1.96E+06	4.32E+06																																		
High	Master Protein	Q9BYX4	Interferon-induced helicase C domain-containing protein 1 OS=Homo sapiens OX=9606 GN=IFIH1 PE=1 SV=3	8	5	13	5	116.6	IFIH1	5.10E+05	1.83E+05	7.70E+05	4.05E+06	3.49E+06	4.18E+06																																		
High	Master Protein	Q9HA65	TBC1 domain family member 17 OS=Homo sapiens OX=9606 GN=TBC1D17 PE=1 SV=3	9	5	13	5	72.6	TBC1D17	3.41E+06	5.85E+06	5.39E+06	3.59E+06	5.87E+06	4.87E+06																																		
High	Master Protein	Q96EY5	Multivesicular body subunit 12A OS=Homo sapiens OX=9606 GN=MVB12A PE=1 SV=1	21	3	13	3	28.8	MVB12A	2.60E+06	2.51E+06	2.88E+06	2.25E+06	2.39E+06	2.59E+06																																		
High	Master Protein	Q9NP66	High mobility group protein 20A OS=Homo sapiens OX=9606 GN=HMG20A PE=1 SV=1	19	3	13	3	40.1	HMG20A	8.74E+05	5.09E+05	8.53E+05	1.03E+06	1.53E+06	1.12E+06																																		
High	Master Protein	Q8WU76	Sec1 family domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SCFD2 PE=1 SV=2	6	3	13	3	75.1	SCFD2	2.47E+06	8.81E+05	3.45E+06	2.46E+06	2.22E+06	3.87E+06																																		
High	Master Protein	Q9BYX2	TBC1 domain family member 2A OS=Homo sapiens OX=9606 GN=TBC1D2 PE=1 SV=3	7	4	13	4	105.3	TBC1D2	2.28E+06	3.75E+06	5.95E+06	2.28E+06	3.35E+06	2.27E+06																																		
High	Master Protein	Q9NRD1	F-box only protein 6 OS=Homo sapiens OX=9606 GN=FBXO6 PE=1 SV=1	16	3	13	3	33.9	FBXO6	1.05E+06	1.80E+05	1.92E+06	1.32E+06	4.34E+05	6.89E+05																																		
High	Master Protein	Q8NB90	ATPase family protein 2 homolog OS=Homo sapiens OX=9606 GN=SPATA5 PE=1 SV=3	8	4	13	3	97.8	AFG2A	3.59E+05		4.07E+05		1.49E+05	2.39E+05																																		
High	Master Protein	Q7L7V1	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32 OS=Homo sapiens OX=9606 GN=DHX32 PE=1 SV=1	7	4	13	4	84.4	DHX32	2.40E+06	2.45E+06	1.84E+06	2.67E+06	1.71E+06	2.72E+06																																		
High	Master Protein	Q9H6F5	Coiled-coil domain-containing protein 86 OS=Homo sapiens OX=9606 GN=CCDC86 PE=1 SV=1	11	3	13	3	40.2	CCDC86	2.04E+06	2.23E+06	2.12E+06	1.50E+06	1.40E+06	1.40E+06																																		
High	Master Protein	Q96SZ5	2-aminoethanethiol dioxygenase OS=Homo sapiens OX=9606 GN=ADO PE=1 SV=2	23	3	13	3	29.7	ADO	3.70E+05	1.23E+06	1.56E+06	4.24E+05	1.58E+05	1.93E+05																																		
High	Master Protein	O75864	Protein phosphatase 1 regulatory subunit 37 OS=Homo sapiens OX=9606 GN=PPP1R37 PE=1 SV=4	21	7	13	7	74.7	PPP1R37	1.63E+06	2.27E+06	1.32E+06	1.65E+06	1.30E+06	1.49E+06																																		
High	Master Protein	P03915	NADH-ubiquinone oxidoreductase chain 5 OS=Homo sapiens OX=9606 GN=MT-ND5 PE=1 SV=2	11	3	13	3	67	MT-ND5	6.35E+06	3.95E+06	4.02E+06	4.12E+06	4.74E+06	3.68E+06																																		
High	Master Protein	Q99758	Phospholipid-transporting ATPase ABCA3 OS=Homo sapiens OX=9606 GN=ABCA3 PE=1 SV=2	2	3	13	3	191.2	ABCA3	1.43E+06	1.12E+06	3.28E+06	1.88E+06	1.53E+06	1.84E+06																																		
High	Master Protein	Q13454	Tumor suppressor candidate 3 OS=Homo sapiens OX=9606 GN=TUSC3 PE=1 SV=1	12	4	13	4	39.7	TUSC3	6.52E+06	7.15E+06	6.49E+06	3.50E+06	2.68E+06	4.08E+06																																		
High	Master Protein	P03891	NADH-ubiquinone oxidoreductase chain 2 OS=Homo sapiens OX=9606 GN=MT-ND2 PE=1 SV=2	10	2	13	2	38.9	MT-ND2		1.20E+05	3.51E+05	2.38E+05	1.94E+05	1.57E+05																																		
High	Master Protein	O43678	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 OS=Homo sapiens OX=9606 GN=NDUFA2 PE=1 SV=3	38	3	13	3	10.9	NDUFA2	2.87E+06	1.35E+06	1.47E+06	1.95E+06	2.00E+06	2.69E+06																																		
